"Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description"
"Bible reading","01/14/14","06:00:00 AM","01/14/14","06:30:00 AM","False","Matthew 14; Genesis 14; Romans 14; 1 Timothy 6; Job 14; Psalms 14; Proverbs 14; Joshua 14; Isaiah 14; Acts 14

http://www.biblegateway.com/passage/?search=Matthew%2014,%20Genesis%2014,%20Romans%2014,%201%20Timothy%206,%20Job%2014,%20Psalms%2014,%20Proverbs%2014,%20Joshua%2014,%20Isaiah%2014,%20Acts%2014&version=NLT"
"Bible reading","01/15/14","06:00:00 AM","01/15/14","06:30:00 AM","False","Matthew 15; Genesis 15; Romans 15; 2 Timothy 1; Job 15; Psalms 15; Proverbs 15; Joshua 15; Isaiah 15; Acts 15

http://www.biblegateway.com/passage/?search=Matthew%2015,%20Genesis%2015,%20Romans%2015,%202%20Timothy%201,%20Job%2015,%20Psalms%2015,%20Proverbs%2015,%20Joshua%2015,%20Isaiah%2015,%20Acts%2015&version=NLT"
"Bible reading","01/16/14","06:00:00 AM","01/16/14","06:30:00 AM","False","Matthew 16; Genesis 16; Romans 16; 2 Timothy 2; Job 16; Psalms 16; Proverbs 16; Joshua 16; Isaiah 16; Acts 16

http://www.biblegateway.com/passage/?search=Matthew%2016,%20Genesis%2016,%20Romans%2016,%202%20Timothy%202,%20Job%2016,%20Psalms%2016,%20Proverbs%2016,%20Joshua%2016,%20Isaiah%2016,%20Acts%2016&version=NLT"
"Bible reading","01/17/14","06:00:00 AM","01/17/14","06:30:00 AM","False","Matthew 17; Genesis 17; 1 Corinthians 1; 2 Timothy 3; Job 17; Psalms 17; Proverbs 17; Joshua 17; Isaiah 17; Acts 17

http://www.biblegateway.com/passage/?search=Matthew%2017,%20Genesis%2017,%201%20Corinthians%201,%202%20Timothy%203,%20Job%2017,%20Psalms%2017,%20Proverbs%2017,%20Joshua%2017,%20Isaiah%2017,%20Acts%2017&version=NLT"
"Bible reading","01/18/14","06:00:00 AM","01/18/14","06:30:00 AM","False","Matthew 18; Genesis 18; 1 Corinthians 2; 2 Timothy 4; Job 18; Psalms 18; Proverbs 18; Joshua 18; Isaiah 18; Acts 18

http://www.biblegateway.com/passage/?search=Matthew%2018,%20Genesis%2018,%201%20Corinthians%202,%202%20Timothy%204,%20Job%2018,%20Psalms%2018,%20Proverbs%2018,%20Joshua%2018,%20Isaiah%2018,%20Acts%2018&version=NLT"
"Bible reading","01/19/14","06:00:00 AM","01/19/14","06:30:00 AM","False","Matthew 19; Genesis 19; 1 Corinthians 3; Titus 1; Job 19; Psalms 19; Proverbs 19; Joshua 19; Isaiah 19; Acts 19

http://www.biblegateway.com/passage/?search=Matthew%2019,%20Genesis%2019,%201%20Corinthians%203,%20Titus%201,%20Job%2019,%20Psalms%2019,%20Proverbs%2019,%20Joshua%2019,%20Isaiah%2019,%20Acts%2019&version=NLT"
"Bible reading","01/20/14","06:00:00 AM","01/20/14","06:30:00 AM","False","Matthew 20; Genesis 20; 1 Corinthians 4; Titus 2; Job 20; Psalms 20; Proverbs 20; Joshua 20; Isaiah 20; Acts 20

http://www.biblegateway.com/passage/?search=Matthew%2020,%20Genesis%2020,%201%20Corinthians%204,%20Titus%202,%20Job%2020,%20Psalms%2020,%20Proverbs%2020,%20Joshua%2020,%20Isaiah%2020,%20Acts%2020&version=NLT"
"Bible reading","01/21/14","06:00:00 AM","01/21/14","06:30:00 AM","False","Matthew 21; Genesis 21; 1 Corinthians 5; Titus 3; Job 21; Psalms 21; Proverbs 21; Joshua 21; Isaiah 21; Acts 21

http://www.biblegateway.com/passage/?search=Matthew%2021,%20Genesis%2021,%201%20Corinthians%205,%20Titus%203,%20Job%2021,%20Psalms%2021,%20Proverbs%2021,%20Joshua%2021,%20Isaiah%2021,%20Acts%2021&version=NLT"
"Bible reading","01/22/14","06:00:00 AM","01/22/14","06:30:00 AM","False","Matthew 22; Genesis 22; 1 Corinthians 6; Philemon 1; Job 22; Psalms 22; Proverbs 22; Joshua 22; Isaiah 22; Acts 22

http://www.biblegateway.com/passage/?search=Matthew%2022,%20Genesis%2022,%201%20Corinthians%206,%20Philemon%201,%20Job%2022,%20Psalms%2022,%20Proverbs%2022,%20Joshua%2022,%20Isaiah%2022,%20Acts%2022&version=NLT"
"Bible reading","01/23/14","06:00:00 AM","01/23/14","06:30:00 AM","False","Matthew 23; Genesis 23; 1 Corinthians 7; James 1; Job 23; Psalms 23; Proverbs 23; Joshua 23; Isaiah 23; Acts 23

http://www.biblegateway.com/passage/?search=Matthew%2023,%20Genesis%2023,%201%20Corinthians%207,%20James%201,%20Job%2023,%20Psalms%2023,%20Proverbs%2023,%20Joshua%2023,%20Isaiah%2023,%20Acts%2023&version=NLT"
"Bible reading","01/24/14","06:00:00 AM","01/24/14","06:30:00 AM","False","Matthew 24; Genesis 24; 1 Corinthians 8; James 2; Job 24; Psalms 24; Proverbs 24; Joshua 24; Isaiah 24; Acts 24

http://www.biblegateway.com/passage/?search=Matthew%2024,%20Genesis%2024,%201%20Corinthians%208,%20James%202,%20Job%2024,%20Psalms%2024,%20Proverbs%2024,%20Joshua%2024,%20Isaiah%2024,%20Acts%2024&version=NLT"
"Bible reading","01/25/14","06:00:00 AM","01/25/14","06:30:00 AM","False","Matthew 25; Genesis 25; 1 Corinthians 9; James 3; Job 25; Psalms 25; Proverbs 25; Judges 1; Isaiah 25; Acts 25

http://www.biblegateway.com/passage/?search=Matthew%2025,%20Genesis%2025,%201%20Corinthians%209,%20James%203,%20Job%2025,%20Psalms%2025,%20Proverbs%2025,%20Judges%201,%20Isaiah%2025,%20Acts%2025&version=NLT"
"Bible reading","01/26/14","06:00:00 AM","01/26/14","06:30:00 AM","False","Matthew 26; Genesis 26; 1 Corinthians 10; James 4; Job 26; Psalms 26; Proverbs 26; Judges 2; Isaiah 26; Acts 26

http://www.biblegateway.com/passage/?search=Matthew%2026,%20Genesis%2026,%201%20Corinthians%2010,%20James%204,%20Job%2026,%20Psalms%2026,%20Proverbs%2026,%20Judges%202,%20Isaiah%2026,%20Acts%2026&version=NLT"
"Bible reading","01/27/14","06:00:00 AM","01/27/14","06:30:00 AM","False","Matthew 27; Genesis 27; 1 Corinthians 11; James 5; Job 27; Psalms 27; Proverbs 27; Judges 3; Isaiah 27; Acts 27

http://www.biblegateway.com/passage/?search=Matthew%2027,%20Genesis%2027,%201%20Corinthians%2011,%20James%205,%20Job%2027,%20Psalms%2027,%20Proverbs%2027,%20Judges%203,%20Isaiah%2027,%20Acts%2027&version=NLT"
